,,,,,,,,,,
,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard,Year,,https://www.espncricinfo.com/
,New Zealand,Sri Lanka,Sri Lanka,112 runs,Wankhede,18-Mar-11,ODI # 3137,2011,,
,Ireland,Netherlands,Ireland,6 wickets,Eden Gardens,18-Mar-11,ODI # 3136,2011,,
,England,West Indies,England,18 runs,Chennai,17-Mar-11,ODI # 3135,2011,,
,Australia,Canada,Australia,7 wickets,Bengaluru,16-Mar-11,ODI # 3134,2011,,
,Ireland,South Africa,South Africa,131 runs,Eden Gardens,15-Mar-11,ODI # 3133,2011,,
,Pakistan,Zimbabwe,Pakistan,7 wickets,Pallekele,14-Mar-11,ODI # 3132,2011,,
,Bangladesh,Netherlands,Bangladesh,6 wickets,Chattogram,14-Mar-11,ODI # 3131,2011,,
,Australia,Kenya,Australia,60 runs,Bengaluru,13-Mar-11,ODI # 3130,2011,,
,Canada,New Zealand,New Zealand,97 runs,Wankhede,13-Mar-11,ODI # 3129,2011,,
,India,South Africa,South Africa,3 wickets,Nagpur,12-Mar-11,ODI # 3128,2011,,
,Bangladesh,England,Bangladesh,2 wickets,Chattogram,11-Mar-11,ODI # 3127,2011,,
,Ireland,West Indies,West Indies,44 runs,Mohali,11-Mar-11,ODI # 3126,2011,,
,Sri Lanka,Zimbabwe,Sri Lanka,139 runs,Pallekele,10-Mar-11,ODI # 3125,2011,,
,India,Netherlands,India,5 wickets,Delhi,9-Mar-11,ODI # 3124,2011,,
,New Zealand,Pakistan,New Zealand,110 runs,Pallekele,8-Mar-11,ODI # 3123,2011,,
,Canada,Kenya,Canada,5 wickets,Delhi,7-Mar-11,ODI # 3122,2011,,
,India,Ireland,India,5 wickets,Bengaluru,6-Mar-11,ODI # 3121,2011,,
,England,South Africa,England,6 runs,Chennai,6-Mar-11,ODI # 3120,2011,,
,Sri Lanka,Australia,no result,-,Colombo (RPS),5-Mar-11,ODI # 3119,2011,,
,Bangladesh,West Indies,West Indies,9 wickets,Mirpur,4-Mar-11,ODI # 3118,2011,,
,New Zealand,Zimbabwe,New Zealand,10 wickets,Ahmedabad,4-Mar-11,ODI # 3117,2011,,
,Canada,Pakistan,Pakistan,46 runs,Colombo (RPS),3-Mar-11,ODI # 3116,2011,,
,Netherlands,South Africa,South Africa,231 runs,Mohali,3-Mar-11,ODI # 3115,2011,,
,England,Ireland,Ireland,3 wickets,Bengaluru,2-Mar-11,ODI # 3114,2011,,
,Sri Lanka,Kenya,Sri Lanka,9 wickets,Colombo (RPS),1-Mar-11,ODI # 3113,2011,,
,Netherlands,West Indies,West Indies,215 runs,Delhi,28-Feb-11,ODI # 3112,2011,,
,Canada,Zimbabwe,Zimbabwe,175 runs,Nagpur,28-Feb-11,ODI # 3111,2011,,
,India,England,tied,-,Bengaluru,27-Feb-11,ODI # 3110,2011,,
,Sri Lanka,Pakistan,Pakistan,11 runs,Colombo (RPS),26-Feb-11,ODI # 3109,2011,,
,Bangladesh,Ireland,Bangladesh,27 runs,Mirpur,25-Feb-11,ODI # 3108,2011,,
,Australia,New Zealand,Australia,7 wickets,Nagpur,25-Feb-11,ODI # 3107,2011,,
,South Africa,West Indies,South Africa,7 wickets,Delhi,24-Feb-11,ODI # 3106,2011,,
,Kenya,Pakistan,Pakistan,205 runs,Hambantota,23-Feb-11,ODI # 3105,2011,,
,England,Netherlands,England,6 wickets,Nagpur,22-Feb-11,ODI # 3104,2011,,
,Australia,Zimbabwe,Australia,91 runs,Ahmedabad,21-Feb-11,ODI # 3103,2011,,
,Sri Lanka,Canada,Sri Lanka,210 runs,Hambantota,20-Feb-11,ODI # 3102,2011,,
,Kenya,New Zealand,New Zealand,10 wickets,Chennai,20-Feb-11,ODI # 3101,2011,,
,Bangladesh,India,India,87 runs,Mirpur,19-Feb-11,ODI # 3100,2011,,
,Australia,New Zealand,Australia,7 wickets,Melbourne,29-Mar-15,ODI # 3646,2015,,
,Australia,India,Australia,95 runs,Sydney,26-Mar-15,ODI # 3645,2015,,
,New Zealand,South Africa,New Zealand,4 wickets,Auckland,24-Mar-15,ODI # 3644,2015,,
,New Zealand,West Indies,New Zealand,143 runs,Wellington,21-Mar-15,ODI # 3643,2015,,
,Australia,Pakistan,Australia,6 wickets,Adelaide,20-Mar-15,ODI # 3642,2015,,
,Bangladesh,India,India,109 runs,Melbourne,19-Mar-15,ODI # 3641,2015,,
,South Africa,Sri Lanka,South Africa,9 wickets,Sydney,18-Mar-15,ODI # 3640,2015,,
,Ireland,Pakistan,Pakistan,7 wickets,Adelaide,15-Mar-15,ODI # 3639,2015,,
,U.A.E.,West Indies,West Indies,6 wickets,Napier,15-Mar-15,ODI # 3638,2015,,
,Australia,Scotland,Australia,7 wickets,Hobart,14-Mar-15,ODI # 3637,2015,,
,India,Zimbabwe,India,6 wickets,Auckland,14-Mar-15,ODI # 3636,2015,,
,Afghanistan,England,England,9 wickets,Sydney,13-Mar-15,ODI # 3635,2015,,
,New Zealand,Bangladesh,New Zealand,3 wickets,Hamilton,13-Mar-15,ODI # 3634,2015,,
,South Africa,U.A.E.,South Africa,146 runs,Wellington,12-Mar-15,ODI # 3633,2015,,
,Scotland,Sri Lanka,Sri Lanka,148 runs,Hobart,11-Mar-15,ODI # 3632,2015,,
,India,Ireland,India,8 wickets,Hamilton,10-Mar-15,ODI # 3631,2015,,
,Bangladesh,England,Bangladesh,15 runs,Adelaide,9-Mar-15,ODI # 3630,2015,,
,Australia,Sri Lanka,Australia,64 runs,Sydney,8-Mar-15,ODI # 3629,2015,,
,New Zealand,Afghanistan,New Zealand,6 wickets,Napier,8-Mar-15,ODI # 3628,2015,,
,Ireland,Zimbabwe,Ireland,5 runs,Hobart,7-Mar-15,ODI # 3627,2015,,
,Pakistan,South Africa,Pakistan,29 runs,Auckland,7-Mar-15,ODI # 3626,2015,,
,India,West Indies,India,4 wickets,Perth,6-Mar-15,ODI # 3625,2015,,
,Bangladesh,Scotland,Bangladesh,6 wickets,Nelson,5-Mar-15,ODI # 3624,2015,,
,Australia,Afghanistan,Australia,275 runs,Perth,4-Mar-15,ODI # 3623,2015,,
,Pakistan,U.A.E.,Pakistan,129 runs,Napier,4-Mar-15,ODI # 3622,2015,,
,Ireland,South Africa,South Africa,201 runs,Canberra,3-Mar-15,ODI # 3621,2015,,
,Pakistan,Zimbabwe,Pakistan,20 runs,Brisbane,1-Mar-15,ODI # 3620,2015,,
,England,Sri Lanka,Sri Lanka,9 wickets,Wellington,1-Mar-15,ODI # 3619,2015,,
,India,U.A.E.,India,9 wickets,Perth,28-Feb-15,ODI # 3618,2015,,
,New Zealand,Australia,New Zealand,1 wicket,Auckland,28-Feb-15,ODI # 3617,2015,,
,South Africa,West Indies,South Africa,257 runs,Sydney,27-Feb-15,ODI # 3616,2015,,
,Bangladesh,Sri Lanka,Sri Lanka,92 runs,Melbourne,26-Feb-15,ODI # 3615,2015,,
,Afghanistan,Scotland,Afghanistan,1 wicket,Dunedin,26-Feb-15,ODI # 3614,2015,,
,Ireland,U.A.E.,Ireland,2 wickets,Brisbane,25-Feb-15,ODI # 3613,2015,,
,West Indies,Zimbabwe,West Indies,73 runs,Canberra,24-Feb-15,ODI # 3612,2015,,
,England,Scotland,England,119 runs,Christchurch,23-Feb-15,ODI # 3611,2015,,
,India,South Africa,India,130 runs,Melbourne,22-Feb-15,ODI # 3610,2015,,
,Afghanistan,Sri Lanka,Sri Lanka,4 wickets,Dunedin,22-Feb-15,ODI # 3609,2015,,
,Pakistan,West Indies,West Indies,150 runs,Christchurch,21-Feb-15,ODI # 3608,2015,,
,New Zealand,England,New Zealand,8 wickets,Wellington,20-Feb-15,ODI # 3607,2015,,
,U.A.E.,Zimbabwe,Zimbabwe,4 wickets,Nelson,19-Feb-15,ODI # 3606,2015,,
,Afghanistan,Bangladesh,Bangladesh,105 runs,Canberra,18-Feb-15,ODI # 3605,2015,,
,New Zealand,Scotland,New Zealand,3 wickets,Dunedin,17-Feb-15,ODI # 3604,2015,,
,Ireland,West Indies,Ireland,4 wickets,Nelson,16-Feb-15,ODI # 3603,2015,,
,India,Pakistan,India,76 runs,Adelaide,15-Feb-15,ODI # 3602,2015,,
,South Africa,Zimbabwe,South Africa,62 runs,Hamilton,15-Feb-15,ODI # 3601,2015,,
,Australia,England,Australia,111 runs,Melbourne,14-Feb-15,ODI # 3600,2015,,
,New Zealand,Sri Lanka,New Zealand,98 runs,Christchurch,14-Feb-15,ODI # 3599,2015,,
,England,New Zealand,tied,-,Lord's,14-Jul-19,ODI # 4192,2019,,
,England,Australia,England,8 wickets,Birmingham,11-Jul-19,ODI # 4191,2019,,
,India,New Zealand,New Zealand,18 runs,Manchester,"Jul 9-10, 2019",ODI # 4190,2019,,
,Australia,South Africa,South Africa,10 runs,Manchester,6-Jul-19,ODI # 4188,2019,,
,India,Sri Lanka,India,7 wickets,Leeds,6-Jul-19,ODI # 4187,2019,,
,Bangladesh,Pakistan,Pakistan,94 runs,Lord's,5-Jul-19,ODI # 4186,2019,,
,Afghanistan,West Indies,West Indies,23 runs,Leeds,4-Jul-19,ODI # 4184,2019,,
,England,New Zealand,England,119 runs,Chester-le-Street,3-Jul-19,ODI # 4183,2019,,
,Bangladesh,India,India,28 runs,Birmingham,2-Jul-19,ODI # 4182,2019,,
,Sri Lanka,West Indies,Sri Lanka,23 runs,Chester-le-Street,1-Jul-19,ODI # 4180,2019,,
,England,India,England,31 runs,Birmingham,30-Jun-19,ODI # 4179,2019,,
,Australia,New Zealand,Australia,86 runs,Lord's,29-Jun-19,ODI # 4178,2019,,
,Afghanistan,Pakistan,Pakistan,3 wickets,Leeds,29-Jun-19,ODI # 4177,2019,,
,South Africa,Sri Lanka,South Africa,9 wickets,Chester-le-Street,28-Jun-19,ODI # 4176,2019,,
,India,West Indies,India,125 runs,Manchester,27-Jun-19,ODI # 4175,2019,,
,New Zealand,Pakistan,Pakistan,6 wickets,Birmingham,26-Jun-19,ODI # 4174,2019,,
,England,Australia,Australia,64 runs,Lord's,25-Jun-19,ODI # 4173,2019,,
,Afghanistan,Bangladesh,Bangladesh,62 runs,Southampton,24-Jun-19,ODI # 4172,2019,,
,Pakistan,South Africa,Pakistan,49 runs,Lord's,23-Jun-19,ODI # 4171,2019,,
,New Zealand,West Indies,New Zealand,5 runs,Manchester,22-Jun-19,ODI # 4170,2019,,
,Afghanistan,India,India,11 runs,Southampton,22-Jun-19,ODI # 4169,2019,,
,England,Sri Lanka,Sri Lanka,20 runs,Leeds,21-Jun-19,ODI # 4168,2019,,
,Australia,Bangladesh,Australia,48 runs,Nottingham,20-Jun-19,ODI # 4166,2019,,
,New Zealand,South Africa,New Zealand,4 wickets,Birmingham,19-Jun-19,ODI # 4165,2019,,
,England,Afghanistan,England,150 runs,Manchester,18-Jun-19,ODI # 4163,2019,,
,Bangladesh,West Indies,Bangladesh,7 wickets,Taunton,17-Jun-19,ODI # 4162,2019,,
,India,Pakistan,India,89 runs,Manchester,16-Jun-19,ODI # 4161,2019,,
,Afghanistan,South Africa,South Africa,9 wickets,Cardiff,15-Jun-19,ODI # 4160,2019,,
,Australia,Sri Lanka,Australia,87 runs,The Oval,15-Jun-19,ODI # 4159,2019,,
,England,West Indies,England,8 wickets,Southampton,14-Jun-19,ODI # 4158,2019,,
,Australia,Pakistan,Australia,41 runs,Taunton,12-Jun-19,ODI # 4157,2019,,
,South Africa,West Indies,no result,-,Southampton,10-Jun-19,ODI # 4156,2019,,
,Australia,India,India,36 runs,The Oval,9-Jun-19,ODI # 4155,2019,,
,Afghanistan,New Zealand,New Zealand,7 wickets,Taunton,8-Jun-19,ODI # 4154,2019,,
,England,Bangladesh,England,106 runs,Cardiff,8-Jun-19,ODI # 4153,2019,,
,Australia,West Indies,Australia,15 runs,Nottingham,6-Jun-19,ODI # 4152,2019,,
,Bangladesh,New Zealand,New Zealand,2 wickets,The Oval,5-Jun-19,ODI # 4151,2019,,
,India,South Africa,India,6 wickets,Southampton,5-Jun-19,ODI # 4150,2019,,
,Afghanistan,Sri Lanka,Sri Lanka,34 runs,Cardiff,4-Jun-19,ODI # 4149,2019,,
,England,Pakistan,Pakistan,14 runs,Nottingham,3-Jun-19,ODI # 4148,2019,,
,Bangladesh,South Africa,Bangladesh,21 runs,The Oval,2-Jun-19,ODI # 4147,2019,,
,Afghanistan,Australia,Australia,7 wickets,Bristol,1-Jun-19,ODI # 4146,2019,,
,New Zealand,Sri Lanka,New Zealand,10 wickets,Cardiff,1-Jun-19,ODI # 4145,2019,,
,Pakistan,West Indies,West Indies,7 wickets,Nottingham,31-May-19,ODI # 4144,2019,,
,England,South Africa,England,104 runs,The Oval,30-May-19,ODI # 4143,2019,,
,India,Australia,Australia,6 wickets,Ahmedabad,19-Nov-23,ODI # 4705,2023,,
,Australia,South Africa,Australia,3 wickets,Eden Gardens,16-Nov-23,ODI # 4704,2023,,
,India,New Zealand,India,70 runs,Wankhede,15-Nov-23,ODI # 4703,2023,,
,India,Netherlands,India,160 runs,Bengaluru,12-Nov-23,ODI # 4702,2023,,
,England,Pakistan,England,93 runs,Eden Gardens,11-Nov-23,ODI # 4701,2023,,
,Australia,Bangladesh,Australia,8 wickets,Pune,11-Nov-23,ODI # 4700,2023,,
,Afghanistan,South Africa,South Africa,5 wickets,Ahmedabad,10-Nov-23,ODI # 4699,2023,,
,New Zealand,Sri Lanka,New Zealand,5 wickets,Bengaluru,9-Nov-23,ODI # 4698,2023,,
,England,Netherlands,England,160 runs,Pune,8-Nov-23,ODI # 4697,2023,,
,Afghanistan,Australia,Australia,3 wickets,Wankhede,7-Nov-23,ODI # 4696,2023,,
,Bangladesh,Sri Lanka,Bangladesh,3 wickets,Delhi,6-Nov-23,ODI # 4695,2023,,
,India,South Africa,India,243 runs,Eden Gardens,5-Nov-23,ODI # 4694,2023,,
,Australia,England,Australia,33 runs,Ahmedabad,4-Nov-23,ODI # 4693,2023,,
,New Zealand,Pakistan,Pakistan,21 runs,Bengaluru,4-Nov-23,ODI # 4692,2023,,
,Afghanistan,Netherlands,Afghanistan,7 wickets,Lucknow,3-Nov-23,ODI # 4691,2023,,
,India,Sri Lanka,India,302 runs,Wankhede,2-Nov-23,ODI # 4690,2023,,
,New Zealand,South Africa,South Africa,190 runs,Pune,1-Nov-23,ODI # 4689,2023,,
,Bangladesh,Pakistan,Pakistan,7 wickets,Eden Gardens,31-Oct-23,ODI # 4688,2023,,
,Afghanistan,Sri Lanka,Afghanistan,7 wickets,Pune,30-Oct-23,ODI # 4687,2023,,
,India,England,India,100 runs,Lucknow,29-Oct-23,ODI # 4686,2023,,
,Bangladesh,Netherlands,Netherlands,87 runs,Eden Gardens,28-Oct-23,ODI # 4685,2023,,
,Australia,New Zealand,Australia,5 runs,Dharamsala,28-Oct-23,ODI # 4684,2023,,
,Pakistan,South Africa,South Africa,1 wicket,Chennai,27-Oct-23,ODI # 4683,2023,,
,England,Sri Lanka,Sri Lanka,8 wickets,Bengaluru,26-Oct-23,ODI # 4682,2023,,
,Australia,Netherlands,Australia,309 runs,Delhi,25-Oct-23,ODI # 4681,2023,,
,Bangladesh,South Africa,South Africa,149 runs,Wankhede,24-Oct-23,ODI # 4680,2023,,
,Afghanistan,Pakistan,Afghanistan,8 wickets,Chennai,23-Oct-23,ODI # 4679,2023,,
,India,New Zealand,India,4 wickets,Dharamsala,22-Oct-23,ODI # 4678,2023,,
,England,South Africa,South Africa,229 runs,Wankhede,21-Oct-23,ODI # 4677,2023,,
,Netherlands,Sri Lanka,Sri Lanka,5 wickets,Lucknow,21-Oct-23,ODI # 4676,2023,,
,Australia,Pakistan,Australia,62 runs,Bengaluru,20-Oct-23,ODI # 4675,2023,,
,India,Bangladesh,India,7 wickets,Pune,19-Oct-23,ODI # 4674,2023,,
,Afghanistan,New Zealand,New Zealand,149 runs,Chennai,18-Oct-23,ODI # 4673,2023,,
,Netherlands,South Africa,Netherlands,38 runs,Dharamsala,17-Oct-23,ODI # 4672,2023,,
,Australia,Sri Lanka,Australia,5 wickets,Lucknow,16-Oct-23,ODI # 4671,2023,,
,Afghanistan,England,Afghanistan,69 runs,Delhi,15-Oct-23,ODI # 4670,2023,,
,India,Pakistan,India,7 wickets,Ahmedabad,14-Oct-23,ODI # 4669,2023,,
,Bangladesh,New Zealand,New Zealand,8 wickets,Chennai,13-Oct-23,ODI # 4668,2023,,
,Australia,South Africa,South Africa,134 runs,Lucknow,12-Oct-23,ODI # 4667,2023,,
,India,Afghanistan,India,8 wickets,Delhi,11-Oct-23,ODI # 4666,2023,,
,Pakistan,Sri Lanka,Pakistan,6 wickets,Hyderabad,10-Oct-23,ODI # 4665,2023,,
,Bangladesh,England,England,137 runs,Dharamsala,10-Oct-23,ODI # 4664,2023,,
,Netherlands,New Zealand,New Zealand,99 runs,Hyderabad,9-Oct-23,ODI # 4663,2023,,
,India,Australia,India,6 wickets,Chennai,8-Oct-23,ODI # 4662,2023,,
,South Africa,Sri Lanka,South Africa,102 runs,Delhi,7-Oct-23,ODI # 4661,2023,,
,Afghanistan,Bangladesh,Bangladesh,6 wickets,Dharamsala,7-Oct-23,ODI # 4660,2023,,
,Netherlands,Pakistan,Pakistan,81 runs,Hyderabad,6-Oct-23,ODI # 4659,2023,,
,England,New Zealand,New Zealand,9 wickets,Ahmedabad,5-Oct-23,ODI # 4658,2023,,
