,,,,,,,,,,
,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard,Year,,https://www.espncricinfo.com/
,England,South Africa,England,3 wickets,Melbourne,12-Mar-92,ODI # 741,1991,,
,New Zealand,India,New Zealand,4 wickets,Dunedin,12-Mar-92,ODI # 740,1991,,
,Australia,Pakistan,Pakistan,48 runs,Perth,11-Mar-92,ODI # 739,1991,,
,South Africa,Zimbabwe,South Africa,7 wickets,Canberra,10-Mar-92,ODI # 738,1991,,
,India,West Indies,West Indies,5 wickets,Wellington,10-Mar-92,ODI # 737,1991,,
,England,Sri Lanka,England,106 runs,Ballarat,9-Mar-92,ODI # 736,1991,,
,Pakistan,South Africa,South Africa,20 runs,Brisbane,8-Mar-92,ODI # 735,1991,,
,New Zealand,West Indies,New Zealand,5 wickets,Auckland,8-Mar-92,ODI # 734,1991,,
,Australia,Sri Lanka,Australia,7 wickets,Adelaide,7-Mar-92,ODI # 733,1991,,
,India,Zimbabwe,India,55 runs,Hamilton,7-Mar-92,ODI # 732,1991,,
,Australia,England,England,8 wickets,Sydney,5-Mar-92,ODI # 731,1991,,
,South Africa,West Indies,South Africa,64 runs,Christchurch,5-Mar-92,ODI # 730,1991,,
,India,Pakistan,India,43 runs,Sydney,4-Mar-92,ODI # 729,1991,,
,New Zealand,Zimbabwe,New Zealand,48 runs,Napier,3-Mar-92,ODI # 728,1991,,
,South Africa,Sri Lanka,Sri Lanka,3 wickets,Wellington,2-Mar-92,ODI # 727,1991,,
,England,Pakistan,no result,-,Adelaide,1-Mar-92,ODI # 726,1991,,
,Australia,India,Australia,1 run,Brisbane,1-Mar-92,ODI # 725,1991,,
,West Indies,Zimbabwe,West Indies,75 runs,Brisbane,29-Feb-92,ODI # 724,1991,,
,New Zealand,South Africa,New Zealand,7 wickets,Auckland,29-Feb-92,ODI # 723,1991,,
,India,Sri Lanka,no result,-,Mackay,28-Feb-92,ODI # 722,1991,,
,England,West Indies,England,6 wickets,Melbourne,27-Feb-92,ODI # 721,1991,,
,Pakistan,Zimbabwe,Pakistan,53 runs,Hobart,27-Feb-92,ODI # 720,1991,,
,Australia,South Africa,South Africa,9 wickets,Sydney,26-Feb-92,ODI # 719,1991,,
,New Zealand,Sri Lanka,New Zealand,6 wickets,Hamilton,25-Feb-92,ODI # 718,1991,,
,Pakistan,West Indies,West Indies,10 wickets,Melbourne,23-Feb-92,ODI # 717,1991,,
,Sri Lanka,Zimbabwe,Sri Lanka,3 wickets,New Plymouth,23-Feb-92,ODI # 716,1991,,
,England,India,England,9 runs,Perth,22-Feb-92,ODI # 715,1991,,
,New Zealand,Australia,New Zealand,37 runs,Auckland,22-Feb-92,ODI # 714,1991,,
,Australia,Sri Lanka,Sri Lanka,7 wickets,Lahore,17-Mar-96,ODI # 1083,1995,,
,Australia,West Indies,Australia,5 runs,Mohali,14-Mar-96,ODI # 1082,1995,,
,India,Sri Lanka,Sri Lanka,-,Eden Gardens,13-Mar-96,ODI # 1081,1995,,
,Australia,New Zealand,Australia,6 wickets,Chennai,11-Mar-96,ODI # 1080,1995,,
,South Africa,West Indies,West Indies,19 runs,Karachi,11-Mar-96,ODI # 1079,1995,,
,India,Pakistan,India,39 runs,Bengaluru,9-Mar-96,ODI # 1078,1995,,
,England,Sri Lanka,Sri Lanka,5 wickets,Faisalabad,9-Mar-96,ODI # 1077,1995,,
,Pakistan,New Zealand,Pakistan,46 runs,Lahore,6-Mar-96,ODI # 1076,1995,,
,Sri Lanka,Kenya,Sri Lanka,144 runs,Kandy,6-Mar-96,ODI # 1074,1995,,
,India,Zimbabwe,India,40 runs,Kanpur,6-Mar-96,ODI # 1075,1995,,
,Netherlands,South Africa,South Africa,160 runs,Rawalpindi,5-Mar-96,ODI # 1073,1995,,
,Australia,West Indies,West Indies,4 wickets,Jaipur,4-Mar-96,ODI # 1072,1995,,
,Pakistan,England,Pakistan,7 wickets,Karachi,3-Mar-96,ODI # 1071,1995,,
,India,Sri Lanka,Sri Lanka,6 wickets,Delhi,2-Mar-96,ODI # 1070,1995,,
,Netherlands,U.A.E.,U.A.E.,7 wickets,Lahore,1-Mar-96,ODI # 1069,1995,,
,Australia,Zimbabwe,Australia,8 wickets,Nagpur,1-Mar-96,ODI # 1068,1995,,
,Pakistan,South Africa,South Africa,5 wickets,Karachi,29-Feb-96,ODI # 1067,1995,,
,Kenya,West Indies,Kenya,73 runs,Pune,29-Feb-96,ODI # 1066,1995,,
,India,Australia,Australia,16 runs,Wankhede,27-Feb-96,ODI # 1065,1995,,
,New Zealand,U.A.E.,New Zealand,109 runs,Faisalabad,27-Feb-96,ODI # 1064,1995,,
