Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Year
Group stage,Wed,8/2/23,19:00 (03:00),Argentina ar,0–2,se Sweden,"17,907",FMG Stadium Waikato (Neutral Site),Salima Mukansanga,Match Report,2023
Group stage,Wed,8/2/23,20:00 (06:00),Panama pa,3–6,fr France,"40,498",Allianz Stadium (Neutral Site),Laura Fortunato,Match Report,2023
Group stage,Wed,8/2/23,20:00 (06:00),Jamaica jm,0–0,br Brazil,"27,638",AAMI Park (Neutral Site),Esther Staubli,Match Report,2023
Group stage,Thu,8/3/23,18:00 (06:00),Morocco ma,1–0,co Colombia,"17,342",HBF Park (Neutral Site),Maria Sole Ferrieri Caputi,Match Report,2023
Group stage,Thu,8/3/23,20:00 (06:00),Korea Republic kr,1–1,de Germany,"38,945",Suncorp Stadium (Neutral Site),Anna-Marie Keighley,Match Report,2023
Round of 16,Sat,8/5/23,17:00 (01:00),Switzerland ch,1–5,es Spain,"43,217",Eden Park (Neutral Site),Cheryl Foster,Match Report,2023
Round of 16,Sat,8/5/23,20:00 (04:00),Japan jp,3–1,no Norway,"33,042",Sky Stadium (Neutral Site),Edina Alves Batista,Match Report,2023
Round of 16,Sun,8/6/23,12:00 (22:00),Netherlands nl,2–0,za South Africa,"40,233",Allianz Stadium (Neutral Site),Yoshimi Yamashita,Match Report,2023
Round of 16,Sun,8/6/23,19:00 (05:00),Sweden se,(5) 0–0 (4),us USA,"27,706",AAMI Park (Neutral Site),Stéphanie Frappart,Match Report,2023
Round of 16,Mon,8/7/23,17:30 (03:30),England eng,(4) 0–0 (2),ng Nigeria,"49,461",Suncorp Stadium (Neutral Site),Melissa Borjas Pastrana,Match Report,2023
Round of 16,Mon,8/7/23,20:30 (06:30),Australia au,2–0,dk Denmark,"75,784",Accor Stadium (Neutral Site),Rebecca Welch,Match Report,2023
Round of 16,Tue,8/8/23,18:00 (04:00),Colombia co,1–0,jm Jamaica,"27,706",AAMI Park (Neutral Site),Kate Jacewicz,Match Report,2023
Round of 16,Tue,8/8/23,20:30 (07:00),France fr,4–0,ma Morocco,"13,557",Coopers Stadium (Neutral Site),Tori Penso,Match Report,2023
Quarter-finals,Fri,8/11/23,13:00 (21:00),Spain es,2–1,nl Netherlands,"32,021",Sky Stadium (Neutral Site),Stéphanie Frappart,Match Report,2023
Quarter-finals,Fri,8/11/23,19:30 (03:30),Japan jp,1–2,se Sweden,"43,217",Eden Park (Neutral Site),Esther Staubli,Match Report,2023
Quarter-finals,Sat,8/12/23,17:00 (03:00),Australia au,(7) 0–0 (6),fr France,"49,461",Suncorp Stadium (Neutral Site),María Carvajal,Match Report,2023
Quarter-finals,Sat,8/12/23,20:30 (06:30),England eng,2–1,co Colombia,"75,784",Accor Stadium (Neutral Site),Katja Koroleva,Match Report,2023
Semi-finals,Tue,8/15/23,20:00 (04:00),Spain es,2–1,se Sweden,"43,217",Eden Park (Neutral Site),Edina Alves Batista,Match Report,2023
Semi-finals,Wed,8/16/23,20:00 (06:00),Australia au,1–3,eng England,"75,784",Accor Stadium (Neutral Site),Tori Penso,Match Report,2023
Third-place match,Sat,8/19/23,18:00 (04:00),Sweden se,2–0,au Australia,"49,461",Suncorp Stadium (Neutral Site),Cheryl Foster,Match Report,2023
Final,Sun,8/20/23,20:00 (06:00),Spain es,1–0,eng England,"75,784",Accor Stadium (Neutral Site),Tori Penso,Match Report,2023
