league,feature,importance,std
nba,mov,0.11850104400899446,0.03365709980074709
nba,win_pct,0.06286741085769347,0.024384270088647627
nba,prior_elite,0.019553083841953034,0.011324617502882307
nba,elite,0.012566254416961048,0.010381481590772608
nba,prior_seasons,0.0004216190170253098,0.009701559447025292
nba,elite_rate,-0.015097976228718358,0.007985890517860776
nfl,mov,0.09726435536294689,0.02168275078826918
nfl,win_pct,0.051954832442933474,0.01637783828029238
nfl,elite,0.0010283184518250054,0.003842411432388534
nfl,prior_seasons,-0.0003941420405723539,0.008974038243765518
nfl,prior_elite,-0.007635334553741541,0.0056703262638200524
nfl,elite_rate,-0.008317144244779024,0.009413949182274053
ncaaf,srs,0.1338883141762453,0.016989628414118673
ncaaf,elite_rate,0.02158630268199243,0.004053459972316317
ncaaf,elite,0.016072318007662918,0.0035912334334676325
ncaaf,win_pct,0.011983045977011598,0.003127730513902831
ncaaf,prior_seasons,0.002897222222222323,0.0013383921453244837
ncaaf,prior_elite,0.0018269157088123323,0.0023437065561902944
