sport,x,y,n_years,slope,r_squared,p_value
Masters,new_players,returning_top10,54,-0.09647173088776406,0.28472942287731506,3.2548954971849754e-05
Tour de France,new_entrants,top10_pedigree,44,-0.20700292030092637,0.16807234889844427,0.005713951433153906
Grand Slams,unique_champions,combined_majors,73,-3.480167810831426,0.08226569144363241,0.013885067257004427
Cricket World Cup,margin_sd,champion_titles,12,0.039431418653198526,0.47590008071328394,0.013042566933705932
Women's World Cup,score_difference,champion_titles,9,-0.6286871524729297,0.06805974232803153,0.4977614854228478
