strength,hca,unique_champions_real,unique_champions_sim,unique_champions_p,hhi_real,hhi_sim,hhi_p
bt,0.0,14.0,20.0,0.0025,0.11952406706327744,0.07301243915630068,0.0004999999999999449
bt,0.4,14.0,20.0,0.0035,0.11952406706327744,0.0730124391563007,0.0
mov,0.0,14.0,20.0,0.0015,0.11952406706327744,0.07084910762574363,0.0020000000000000018
mov,0.4,14.0,20.0,0.003,0.11952406706327744,0.07084910762574365,0.0015000000000000568
record,0.0,14.0,19.0,0.0025,0.11952406706327744,0.0730124391563007,0.0015000000000000568
record,0.4,14.0,19.0,0.003,0.11952406706327744,0.07409410492157922,0.0015000000000000568
