bin,predicted,actual,n
"(0.0, 0.02]",0.0048231738035264485,0.0025188916876574307,397
"(0.02, 0.05]",0.03288,0.023529411764705882,85
"(0.05, 0.1]",0.07025344827586207,0.06896551724137931,58
"(0.1, 0.2]",0.14355384615384614,0.16923076923076924,65
"(0.2, 0.35]",0.2683971428571429,0.2571428571428571,35
"(0.35, 1.01]",0.51636,0.5333333333333333,30
