league,balance_metric,n,raw_r2,raw_p,dominance_vs_year_r2,detrended_r2,detrended_p
nba,paper_cb_win,42,0.3358130509111063,5.786346415163303e-05,0.40760834971971477,0.19928729210330626,0.0030425830287361217
nfl,paper_cb_win,53,0.0035815624452665497,0.6703414409006554,0.2642447280181736,0.011627067558074208,0.44217106181817445
ncaaf,rating_sd,54,0.488151738848915,4.238119170145727e-09,0.8532739749707987,0.014120735159384385,0.39209211419953444
ncaaf,win_pct_sd,54,0.15885015735895028,0.002835484808294382,0.8532739749707987,0.07959285874305543,0.0387486160770188
