league,pedigree,balance,n,r,p,r_detrended,p_detrended,q_detrended
NBA,prior_titles,win_pct_sd,43,0.20053901662221835,0.19725307522430613,0.25050678798447834,0.10518294880782779,0.4518532168639819
NBA,prior_titles,noll_scully,43,0.21241448289580872,0.17146404355430447,0.2716211842116235,0.0780782145022023,0.4518532168639819
NBA,prior_titles,mov_sd,43,0.14808799721133145,0.3432810260320312,0.13383115807481957,0.3922257649059569,0.6335954663865457
NBA,prior_titles,strength_sd,43,0.2327796411379105,0.13305059337838135,0.26327966754292703,0.08804380461378812,0.4518532168639819
NBA,prior_titles,top_bottom_gap,43,0.027229216876691963,0.8623963860687855,0.039368318183614574,0.8020883193492905,0.8781803785693736
NBA,prior_titles,hhi_wins,43,-0.24179531154540215,0.11826054237420916,-0.1340108603617598,0.3915845942007654,0.6335954663865457
NBA,prior_titles,gini_wins,43,0.2783819027233857,0.07066887236974956,0.3173177869700877,0.03813511914192577,0.4518532168639819
NBA,prior_titles,upset_rate,43,-0.19639513720172452,0.20686418389459926,-0.22342228029119598,0.14981541006256568,0.4999210571155395
NBA,prior_titles_10y,win_pct_sd,43,0.26940734876458494,0.0806324764072601,0.2778470834411309,0.0712339839866868,0.4518532168639819
NBA,prior_titles_10y,noll_scully,43,0.3166066735374606,0.038593235716739664,0.3288209706838651,0.03132241565154406,0.4518532168639819
NBA,prior_titles_10y,mov_sd,43,0.1520553974734914,0.33036053558134304,0.15130207355344327,0.3327902431138697,0.6016313939539842
NBA,prior_titles_10y,strength_sd,43,0.2926195885251696,0.056883320943639196,0.29635505163782927,0.053648823282361244,0.4518532168639819
NBA,prior_titles_10y,top_bottom_gap,43,0.1685097397739034,0.2800626098417122,0.16964190093715212,0.2767969426913992,0.6016313939539842
NBA,prior_titles_10y,hhi_wins,43,-0.06326945970375358,0.6869008604730619,-0.10558986401972273,0.5003852471223641,0.6779413025528804
NBA,prior_titles_10y,gini_wins,43,0.26842960357390105,0.08178116417689017,0.2734606749907312,0.07600448021563815,0.4518532168639819
NBA,prior_titles_10y,upset_rate,43,-0.25838892190719664,0.09432998051699834,-0.2614321108049694,0.09037912161747859,0.4518532168639819
NBA,prior_top4,win_pct_sd,43,0.004327154648743101,0.9780298168578326,0.08999996999145995,0.5660046749794408,0.6991822455628387
NBA,prior_top4,noll_scully,43,-0.004366590838830748,0.9778296376140105,0.0949950894991807,0.544553585254789,0.693068199415186
NBA,prior_top4,mov_sd,43,0.00018314111448303194,0.9990700279993007,-0.036661037289653364,0.8154532086715611,0.8781803785693736
NBA,prior_top4,strength_sd,43,0.05622267281762094,0.7202712059756164,0.11053300000595749,0.48042329051418425,0.6779413025528804
NBA,prior_top4,top_bottom_gap,43,-0.06592446211365638,0.6744748193281099,-0.048219487997596164,0.7587995253650738,0.8533748789088469
