league,relationship,n,slope,r_squared,p_value
NBA,s ~ win_pct_sd,43,0.008929880787730951,0.5684456692020791,5.326145244768427e-09
NBA,s ~ dominance,42,-1.8591274202785215,0.017825624757741177,0.3992666731030459
NFL,s ~ win_pct_sd,54,0.008657163236584105,0.6947664973219314,5.22277568298785e-15
NFL,s ~ dominance,53,1.4860618887365502,0.025385693807320957,0.25446519553146335
