sport,unit,editions,field_median,unique_real,unique_null,hhi_real,hhi_null,effective_n_real,effective_n_null,top_share_real,dominance_multiple,p_two_sided
Tour de France,rider,44,142.5,23,44.0,0.07128099173553719,0.02272727272727272,17.990755823013217,44.000000000000036,0.1590909090909091,3.136363636363637,0.0
NCAA football,programme,54,120.0,20,45.0,0.07338820301783265,0.025377229080932782,16.43623603229324,42.037220385601046,0.16666666666666666,2.891891891891892,0.0
NBA,franchise,43,29.0,14,24.0,0.11952406706327742,0.05354245538128718,10.434409454560004,21.23326877198641,0.23255813953488372,2.232323232323232,0.0
Women's World Cup,nation,9,16.0,5,8.0,0.2839506172839506,0.13580246913580246,4.166436205292808,7.715195845677657,0.4444444444444444,2.090909090909091,0.0012000000000000899
Tennis majors,player,292,6.0,83,109.0,0.031642897354100204,0.017639331957215232,48.30499599988342,78.11012237796615,0.07534246575342465,1.7938829787234047,0.0
Masters golf,player,54,50.0,37,50.0,0.03635116598079562,0.02126200274348422,32.36751009812942,48.73003501323845,0.09259259259259259,1.7096774193548396,0.0
Cricket World Cup,nation,12,11.0,5,8.0,0.2361111111111111,0.1388888888888889,4.559014113909556,7.55952629936924,0.3333333333333333,1.7,0.04170000000000007
