league,powerhouse,n,base_rate,odds_ratio,or_lo,or_hi,coef,p,q
NBA,had won before,38,0.7105263157894737,0.9312781142605979,0.43441443690502807,1.9964320989874935,-0.07119731993403283,0.8548022437357721,0.8548022437357721
NBA,top-3 most decorated,38,0.42105263157894735,0.7050129705308665,0.33039772880967855,1.5043786481446184,-0.34953907842298526,0.3660477358113937,0.48806364774852495
NBA,top-quartile career win%,38,0.47368421052631576,0.704843056624124,0.33823653386458497,1.4688056573750738,-0.3497801156697572,0.35045434268429443,0.48806364774852495
NBA,already had 3+ titles,38,0.3684210526315789,0.4815356439300439,0.2173921679751217,1.0666280139478523,-0.7307750236301355,0.07170321750469298,0.19120858001251462
NCAAF,had won before,49,0.673469387755102,0.738578096174598,0.3411045482119288,1.599209412505327,-0.30302843287317455,0.4420137884862353,0.5051586154128404
NCAAF,top-3 most decorated,49,0.2857142857142857,0.26572437442212943,0.10749433611144256,0.6568666379671312,-1.3252956937956535,0.004102992268962014,0.03282393815169611
NCAAF,top-quartile career win%,49,0.8979591836734694,0.4352162447505419,0.09085611792377427,2.084759772079145,-0.831912257044805,0.2979576280376176,0.48806364774852495
NCAAF,already had 3+ titles,49,0.20408163265306123,0.2597335517767072,0.08825956603538114,0.7643536100268126,-1.3480989742928582,0.01436821865945293,0.05747287463781172
