season,start_year,n_teams,n_games,c,s,mse,lambda,win_pct_sd
1980-1981,1980,23,82,0.8979591836734693,5.918367346938775,4.173913043478261,0.6369978084854289,0.16061470357334212
1981-1982,1981,23,82,0.8979591836734693,6.122448979591837,4.956521739130435,0.6589632501573403,0.15274026624569673
1982-1983,1982,23,82,0.8979591836734693,6.530612244897959,3.5652173913043477,0.7028941335011629,0.16128869606473004
1983-1984,1983,23,82,0.8979591836734693,2.857142857142857,2.5217391304347827,0.3075161834067588,0.11458402167717546
1984-1985,1984,23,82,0.8979591836734693,5.918367346938775,4.695652173913044,0.6369978084854289,0.1462402998370924
1985-1986,1985,23,82,0.8979591836734693,5.1020408163265305,4.608695652173913,0.5491360417977835,0.14367022790874864
1986-1987,1986,23,82,0.8979591836734693,6.530612244897959,3.9130434782608696,0.7028941335011629,0.15443648681091532
1987-1988,1987,23,82,0.8979591836734693,6.530612244897959,5.913043478260869,0.7028941335011629,0.15749645833272496
1988-1989,1988,25,82,0.8979591836734693,7.551020408163265,6.16,0.8127213418607196,0.1622216796033543
1989-1990,1989,27,82,0.8979591836734693,7.551020408163265,8.148148148148149,0.8127213418607196,0.173985959088985
1990-1991,1990,27,82,0.8979591836734693,6.73469387755102,4.0,0.7248595751730742,0.15810718892853415
1991-1992,1991,27,82,0.8979591836734693,7.755102040816327,3.6296296296296298,0.834686783532631,0.15947883425551673
1992-1993,1992,27,82,0.8979591836734693,6.122448979591837,4.7407407407407405,0.6589632501573403,0.15841728768362698
1993-1994,1993,27,82,0.8979591836734693,6.938775510204081,6.7407407407407405,0.7468250168449856,0.17725198956927904
1994-1995,1994,27,82,0.8979591836734693,6.326530612244898,3.259259259259259,0.6809286918292516,0.1613078757197886
1995-1996,1995,29,82,0.8979591836734693,8.571428571428571,4.068965517241379,0.9225485502202763,0.17127306575812554
1996-1997,1996,29,82,0.8979591836734693,7.755102040816327,4.482758620689655,0.834686783532631,0.1909225592886294
1997-1998,1997,29,82,0.8979591836734693,7.551020408163265,6.413793103448276,0.8127213418607196,0.1894470304330513
1998-1999,1998,29,50,0.8979591836734693,6.73469387755102,2.206896551724138,0.7248595751730742,0.1592841127401869
1999-2000,1999,29,82,0.8979591836734693,6.122448979591837,3.3793103448275863,0.6589632501573403,0.16098667447837386
2000-2001,2000,29,82,0.8979591836734693,5.3061224489795915,4.689655172413793,0.5711014834696948,0.1571590374562888
2001-2002,2001,29,82,0.8979591836734693,3.8775510204081636,3.6551724137931036,0.4173433917663155,0.13800672861443075
2002-2003,2002,29,81,0.8979591836734693,7.755102040816327,6.758620689655173,0.834686783532631,0.14420223893645243
2003-2004,2003,29,82,0.8979591836734693,5.918367346938775,2.5517241379310347,0.6369978084854289,0.13608635153420648
2004-2005,2004,30,82,0.8979591836734693,6.938775510204081,3.3333333333333335,0.7468250168449856,0.15477354982082026
2005-2006,2005,30,82,0.8979591836734693,4.4897959183673475,3.1333333333333333,0.4832397167820496,0.13632491613282105
2006-2007,2006,30,82,0.8979591836734693,4.081632653061225,3.6666666666666665,0.4393088334382268,0.13228091408016898
2007-2008,2007,30,82,0.8979591836734693,6.938775510204081,5.0,0.7468250168449856,0.16875394929393162
2008-2009,2008,30,82,0.8979591836734693,6.73469387755102,3.6,0.7248595751730742,0.1721281299016761
2009-2010,2009,30,82,0.8979591836734693,5.510204081632653,7.8,0.5930669251416062,0.16295810405794772
2010-2011,2010,30,82,0.8979591836734693,5.918367346938775,2.933333333333333,0.6369978084854289,0.16066242184500842
2011-2012,2011,30,66,0.8979591836734693,6.326530612244898,3.6666666666666665,0.6809286918292516,0.15613220525324487
2012-2013,2012,30,82,0.8979591836734693,5.1020408163265305,3.8333333333333335,0.5491360417977835,0.1552007265358039
2013-2014,2013,30,82,0.8979591836734693,6.326530612244898,2.933333333333333,0.6809286918292516,0.1575606031917907
2014-2015,2014,30,82,0.8979591836734693,6.530612244897959,3.466666666666667,0.7028941335011629,0.16414238632512246
2015-2016,2015,30,82,0.8979591836734693,8.16326530612245,5.533333333333333,0.8786176668764536,0.169324896839346
2016-2017,2016,30,82,0.8979591836734693,5.1020408163265305,3.6666666666666665,0.5491360417977835,0.13644816707765103
2017-2018,2017,30,82,0.8979591836734693,6.326530612244898,6.733333333333333,0.6809286918292516,0.14908039950725038
2018-2019,2018,30,82,0.8979591836734693,7.755102040816327,4.933333333333334,0.834686783532631,0.14670695240873033
2019-2020,2019,30,72,0.8979591836734693,7.959183673469388,5.766666666666667,0.8566522252045423,0.1544284084400708
2020-2021,2020,30,72,0.8979591836734693,4.4897959183673475,3.6,0.4832397167820496,0.13902256907654842
2021-2022,2021,30,82,0.8979591836734693,4.6938775510204085,5.066666666666666,0.5052051584539609,0.1410270048322449
2022-2023,2022,30,82,0.8979591836734693,3.4693877551020407,3.1333333333333333,0.3734125084224928,0.12231234277619858
