era,n_seasons,unique_real,unique_sim,hhi_real,hhi_sim,p_two_sided
1980-1994,15,6,9.0,0.19111111111111112,0.1466666666666667,0.20300000000000007
1995-2009,15,6,10.0,0.23555555555555555,0.12,0.00275000000000003
2010-2023,13,9,9.0,0.1597633136094675,0.12426035502958582,0.21399999999999997
1980-2023,43,14,20.0,0.11952406706327744,0.0730124391563007,0.0017499999999999183
