league,season,start_year,n_teams,champion,mad_from_median,win_pct_sd,noll_scully,mov_sd,gini_wins,top_bottom_gap,upset_rate,prior_titles,career_win_pct,has_won_before,top3_pedigree,dynasty,top_career,tightness_index
NBA,1985-1986,1985,23,Boston Celtics,0.1145652173913043,0.14367022790874864,2.601978493195396,4.0359418333535775,0.15842131956291208,0.5369999999999999,0.33191940615058324,2,0.7463414634146341,1,1,0,1,2.1315305666474633
NBA,1986-1987,1986,23,Los Angeles Lakers,0.11617391304347827,0.15443648681091532,2.7969637349074357,4.596325607581462,0.16948683664530406,0.647,0.3297985153764581,2,0.7052845528455285,1,1,0,1,0.11592558106588624
NBA,1987-1988,1987,23,Los Angeles Lakers,0.12682608695652176,0.15749645833272496,2.8523821761908734,4.665723638954499,0.1743741066900272,0.549,0.31919406150583246,3,0.7177700348432056,1,1,1,1,-0.06615470442146985
NBA,1988-1989,1988,25,Detroit Pistons,0.12736,0.1622216796033543,2.9379595731278085,5.347551215276017,0.17857560975609757,0.585,0.31121951219512195,0,0.524390243902439,0,0,0,0,-1.261931831071185
NBA,1989-1990,1989,27,Detroit Pistons,0.1378148148148148,0.173985959088985,3.1510197363579593,4.7233955204032245,0.19284686674027235,0.561,0.2981029810298103,1,0.551490514905149,1,1,0,1,-1.9171607882092772
NBA,1990-1991,1990,27,Chicago Bulls,0.1355185185185185,0.15810718892853415,2.863442977712266,4.926424418364453,0.17785807487704508,0.524,0.3215898825654923,0,0.48048780487804876,0,0,0,0,-0.5667678730990824
NBA,1991-1992,1991,27,Chicago Bulls,0.1295925925925926,0.15947883425551673,2.8882845311297736,4.78846328447662,0.17839338887216033,0.6339999999999999,0.31125226860254085,1,0.5044345898004434,1,0,0,0,-0.9176840338472224
NBA,1992-1993,1992,27,Chicago Bulls,0.12196296296296295,0.15841728768362698,2.869059105028711,4.823745751687486,0.17504767640268995,0.622,0.3261065943992773,2,0.5304878048780488,1,1,0,0,-0.5062504455055256
NBA,1993-1994,1993,27,Houston Rockets,0.14814814814814814,0.17725198956927904,3.210170064101876,5.155125405721761,0.19726320719997323,0.609,0.2944896115627823,0,0.5168855534709194,0,0,0,0,-3.174599157806083
NBA,1994-1995,1994,27,Houston Rockets,0.13414814814814813,0.1613078757197886,2.9214098809149824,4.779660014849368,0.18207367258857773,0.549,0.3044263775971093,1,0.5304878048780488,1,0,0,0,-0.8073705237151811
