season,start_year,n_teams,n_games,c,s,mse,lambda,win_pct_sd,lambda_1d
1980-1981,1980,23,82,0.8979591836734693,5.918367346938775,4.173913043478261,0.6369978084854289,0.1606147035733421,0.6779661016949153
1981-1982,1981,23,82,0.8979591836734693,6.122448979591837,4.956521739130435,0.6589632501573403,0.1527402662456967,0.6449152542372881
1982-1983,1982,23,82,0.8979591836734693,6.530612244897959,3.5652173913043477,0.7028941335011629,0.16128869606473,0.6779661016949153
1983-1984,1983,23,82,0.8979591836734693,2.857142857142857,2.5217391304347827,0.3075161834067588,0.1145840216771754,0.3805084745762712
1984-1985,1984,23,82,0.8979591836734693,5.918367346938775,4.695652173913044,0.6369978084854289,0.1462402998370924,0.5788135593220339
1985-1986,1985,23,82,0.8979591836734693,5.1020408163265305,4.608695652173913,0.5491360417977835,0.1436702279087486,0.5788135593220339
1986-1987,1986,23,82,0.8979591836734693,6.530612244897959,3.9130434782608696,0.7028941335011629,0.1544364868109153,0.6449152542372881
1987-1988,1987,23,82,0.8979591836734693,6.530612244897959,5.913043478260869,0.7028941335011629,0.1574964583327249,0.6779661016949153
1988-1989,1988,25,82,0.8979591836734693,7.551020408163265,6.16,0.8127213418607196,0.1622216796033543,0.6779661016949153
1989-1990,1989,27,82,0.8979591836734693,7.551020408163265,8.148148148148149,0.8127213418607196,0.173985959088985,0.8101694915254237
1990-1991,1990,27,82,0.8979591836734693,6.73469387755102,4.0,0.7248595751730742,0.1581071889285341,0.6779661016949153
1991-1992,1991,27,82,0.8979591836734693,7.755102040816327,3.6296296296296298,0.834686783532631,0.1594788342555167,0.7110169491525424
1992-1993,1992,27,82,0.8979591836734693,6.122448979591837,4.7407407407407405,0.6589632501573403,0.1584172876836269,0.6779661016949153
1993-1994,1993,27,82,0.8979591836734693,6.938775510204081,6.7407407407407405,0.7468250168449856,0.177251989569279,0.8101694915254237
1994-1995,1994,27,82,0.8979591836734693,6.326530612244898,3.259259259259259,0.6809286918292516,0.1613078757197886,0.7110169491525424
1995-1996,1995,29,82,0.8979591836734693,8.571428571428571,4.068965517241379,0.9225485502202764,0.1712730657581255,0.7771186440677966
1996-1997,1996,29,82,0.8979591836734693,7.755102040816327,4.482758620689655,0.834686783532631,0.1909225592886294,0.9093220338983051
1997-1998,1997,29,82,0.8979591836734693,7.551020408163265,6.413793103448276,0.8127213418607196,0.1894470304330513,0.9423728813559322
1998-1999,1998,29,50,0.8979591836734693,6.73469387755102,2.206896551724138,0.7248595751730742,0.1592841127401869,0.6449152542372881
1999-2000,1999,29,82,0.8979591836734693,6.122448979591837,3.3793103448275863,0.6589632501573403,0.1609866744783738,0.6779661016949153
2000-2001,2000,29,82,0.8979591836734693,5.3061224489795915,4.689655172413793,0.5711014834696948,0.1571590374562888,0.6449152542372881
2001-2002,2001,29,82,0.8979591836734693,3.877551020408163,3.655172413793104,0.4173433917663155,0.1380067286144307,0.5457627118644068
2002-2003,2002,29,81,0.8979591836734693,7.755102040816327,6.758620689655173,0.834686783532631,0.1442022389364524,0.5788135593220339
2003-2004,2003,29,82,0.8979591836734693,5.918367346938775,2.5517241379310347,0.6369978084854289,0.1360863515342064,0.5457627118644068
2004-2005,2004,30,82,0.8979591836734693,6.938775510204081,3.3333333333333335,0.7468250168449856,0.1547735498208202,0.6449152542372881
2005-2006,2005,30,82,0.8979591836734693,4.4897959183673475,3.1333333333333333,0.4832397167820496,0.136324916132821,0.5127118644067796
2006-2007,2006,30,82,0.8979591836734693,4.081632653061225,3.6666666666666665,0.4393088334382268,0.1322809140801689,0.5127118644067796
2007-2008,2007,30,82,0.8979591836734693,6.938775510204081,5.0,0.7468250168449856,0.1687539492939316,0.7440677966101695
2008-2009,2008,30,82,0.8979591836734693,6.73469387755102,3.6,0.7248595751730742,0.1721281299016761,0.8101694915254237
2009-2010,2009,30,82,0.8979591836734693,5.510204081632653,7.8,0.5930669251416062,0.1629581040579477,0.7110169491525424
2010-2011,2010,30,82,0.8979591836734693,5.918367346938775,2.933333333333333,0.6369978084854289,0.1606624218450084,0.7110169491525424
2011-2012,2011,30,66,0.8979591836734693,6.326530612244898,3.6666666666666665,0.6809286918292516,0.1561322052532448,0.611864406779661
2012-2013,2012,30,82,0.8979591836734693,5.1020408163265305,3.8333333333333335,0.5491360417977835,0.1552007265358039,0.6779661016949153
2013-2014,2013,30,82,0.8979591836734693,6.326530612244898,2.933333333333333,0.6809286918292516,0.1575606031917907,0.6779661016949153
2014-2015,2014,30,82,0.8979591836734693,6.530612244897959,3.466666666666667,0.7028941335011629,0.1641423863251224,0.7110169491525424
2015-2016,2015,30,82,0.8979591836734693,8.16326530612245,5.533333333333333,0.8786176668764536,0.169324896839346,0.7440677966101695
2016-2017,2016,30,82,0.8979591836734693,5.1020408163265305,3.6666666666666665,0.5491360417977835,0.136448167077651,0.5127118644067796
2017-2018,2017,30,82,0.8979591836734693,6.326530612244898,6.733333333333333,0.6809286918292516,0.1490803995072503,0.611864406779661
2018-2019,2018,30,82,0.8979591836734693,7.755102040816327,4.933333333333334,0.834686783532631,0.1467069524087303,0.611864406779661
