s,multiplier,max_abs_diff_wins
2,2.0,0.0
2,4.0,0.0
4,2.0,0.0
4,4.0,0.02533333333333232
6,2.0,0.0010000000000012221
6,4.0,0.9683333333333337
8,2.0,0.035333333333332106
8,4.0,3.099666666666664
10,2.0,0.27933333333332655
10,4.0,5.402666666666661
14,2.0,1.8813333333333304
14,4.0,8.974000000000004
18,2.0,3.8969999999999914
18,4.0,11.161666666666662
22,2.0,5.361000000000004
22,4.0,12.309333333333342
26,2.0,6.135999999999996
26,4.0,12.699333333333328
30,2.0,6.416333333333341
30,4.0,12.606333333333339
