season,margin_sd,champion_titles
1975,75.88607532723924,1
1979,33.06991151513786,1
1983,44.32004813475123,1
1991,33.51305715687544,1
1995,54.17240995193033,2
1999,42.54093316033449,1
2003,55.17250897980294,2
2007,72.54830574635542,3
2011,72.46148402197312,2
2015,67.80919522101512,3
2019,41.14876546715465,2
2023,82.24296807084146,4
