gamma,loglik,mean_p_champion
0.3,-85.06818796059173,0.1502248062015504
0.4,-79.58236654665019,0.17730620155038757
0.5,-75.57020175495832,0.20325581395348832
0.6000000000000001,-72.29029983962445,0.22812403100775197
0.7,-70.14343109425361,0.25103875968992245
0.8,-68.69760503888233,0.2721937984496124
0.9000000000000001,-67.62666241263099,0.29147286821705426
1.0,-67.23998349895176,0.30776356589147286
1.1,-67.40633607911852,0.3223255813953489
1.2,-67.44579246321995,0.3352868217054264
1.3,-67.80749643217067,0.3470697674418605
1.4000000000000001,-68.5814588782801,0.3573449612403101
1.5000000000000002,-69.29782468285296,0.36629069767441863
1.6,-71.18100429882915,0.3744031007751938
1.7000000000000002,-73.09982953221336,0.3819248062015504
1.8,-74.13997902749388,0.38780852713178304
