league,balance,powerhouse,n,coef_tight,p_tight,q_tight
NBA,mean |win% − median|,had won before,38,-0.11377378509954028,0.7679113924537255,0.831904008491536
NBA,mean |win% − median|,top-3 most decorated,38,-0.3659600606200841,0.348133369535061,0.5657167254944742
NBA,mean |win% − median|,top-quartile career win%,38,-0.40030082848954623,0.2927701635944078,0.5657167254944742
NBA,mean |win% − median|,already had 3+ titles,38,-0.8374472028284791,0.046420399180852646,0.2682067508227042
NBA,SD of win%,had won before,38,-0.03310350978449276,0.9336762068316484,0.9672477433261047
NBA,SD of win%,top-3 most decorated,38,-0.39330409421472856,0.3250943505515821,0.5657167254944742
NBA,SD of win%,top-quartile career win%,38,-0.40399105208522434,0.29798647383490096,0.5657167254944742
NBA,SD of win%,already had 3+ titles,38,-0.7063429375519649,0.08310809229406718,0.36013506660762445
NBA,Noll-Scully,had won before,38,-0.2457830640233199,0.5440581821207167,0.7079818044006903
NBA,Noll-Scully,top-3 most decorated,38,-0.5024989314199266,0.2116876854075601,0.5657167254944742
NBA,Noll-Scully,top-quartile career win%,38,-0.5406727814213304,0.1708185467203711,0.5275959222370259
NBA,Noll-Scully,already had 3+ titles,38,-0.81162732524753,0.053875923494816534,0.2733467333590465
NBA,SD of scoring margin,had won before,38,0.2522352430682577,0.5134425405180207,0.7079818044006903
NBA,SD of scoring margin,top-3 most decorated,38,0.02278874304126795,0.9486468251852181,0.9672477433261047
NBA,SD of scoring margin,top-quartile career win%,38,0.11000942499176457,0.7494143306745586,0.831904008491536
NBA,SD of scoring margin,already had 3+ titles,38,-0.49907853518404693,0.18262935769743205,0.5275959222370259
NBA,Gini of wins,had won before,38,-0.148885052933136,0.7030704838569151,0.8170894188493102
NBA,Gini of wins,top-3 most decorated,38,-0.4684242200997294,0.24911666678911681,0.5657167254944742
NBA,Gini of wins,top-quartile career win%,38,-0.5339488279741786,0.18042646110126048,0.5275959222370259
NBA,Gini of wins,already had 3+ titles,38,-0.7802310645524453,0.05782334744133677,0.2733467333590465
NBA,best − worst win%,had won before,38,-0.09643174011904837,0.7949233639219235,0.8435921413048986
NBA,best − worst win%,top-3 most decorated,38,-0.187234396045144,0.5967905976234231,0.7388835970575715
NBA,best − worst win%,top-quartile career win%,38,-0.13059957684530346,0.7025752469808797,0.8170894188493102
NBA,best − worst win%,already had 3+ titles,38,-0.2232770478475659,0.5148374667910137,0.7079818044006903
NBA,upset rate,had won before,38,-0.007060252645446084,0.9853301733578854,0.9853301733578854
NBA,upset rate,top-3 most decorated,38,-0.22827447216697855,0.5446013880005309,0.7079818044006903
NBA,upset rate,top-quartile career win%,38,-0.30735811284867215,0.40557075822311073,0.6386898939165944
NBA,upset rate,already had 3+ titles,38,-0.5753916425834917,0.13180428961045373,0.4895587899816853
NCAAF,mean |win% − median|,had won before,49,-0.3086494754626168,0.41760493063777326,0.6386898939165944
NCAAF,mean |win% − median|,top-3 most decorated,49,-1.4456556192932057,0.0015485686575200336,0.06484927606729739
NCAAF,mean |win% − median|,top-quartile career win%,49,-0.8160246706824897,0.278317962544144,0.5657167254944742
NCAAF,mean |win% − median|,already had 3+ titles,49,-1.2535007294437301,0.010636255156711093,0.11683909185183929
NCAAF,SD of win%,had won before,49,-0.4583488193016745,0.25728598915018663,0.5657167254944742
NCAAF,SD of win%,top-3 most decorated,49,-1.4111334517829734,0.002494202925665284,0.06484927606729739
NCAAF,SD of win%,top-quartile career win%,49,-0.774526387348438,0.3199033705585146,0.5657167254944742
NCAAF,SD of win%,already had 3+ titles,49,-1.2934951172451976,0.013481433675212226,0.11683909185183929
NCAAF,Noll-Scully,had won before,49,-0.3693253903482993,0.33156235529353784,0.5657167254944742
NCAAF,Noll-Scully,top-3 most decorated,49,-1.0222750101751132,0.012811058262471526,0.11683909185183929
NCAAF,Noll-Scully,top-quartile career win%,49,-0.861978400575477,0.24274386714521834,0.5657167254944742
NCAAF,Noll-Scully,already had 3+ titles,49,-0.9290817152714368,0.038650531727295094,0.25122845622741813
NCAAF,SD of scoring margin,had won before,49,0.3442638148466598,0.4428920804877513,0.6580110910103734
NCAAF,SD of scoring margin,top-3 most decorated,49,-0.7230537780081275,0.12483020528088959,0.4895587899816853
NCAAF,SD of scoring margin,top-quartile career win%,49,-0.35896932258984354,0.5941009252157903,0.7388835970575715
NCAAF,SD of scoring margin,already had 3+ titles,49,-0.800263258367678,0.14710829151763133,0.5099754105944553
NCAAF,Gini of wins,had won before,49,-0.6294967315845971,0.2722613084283636,0.5657167254944742
NCAAF,Gini of wins,top-3 most decorated,49,-1.673361719327987,0.009715590604016227,0.11683909185183929
NCAAF,Gini of wins,top-quartile career win%,49,-1.0629155222475082,0.3387021603051975,0.5657167254944742
NCAAF,Gini of wins,already had 3+ titles,49,-1.7369186398178795,0.02566541997490277,0.19065740552784916
NCAAF,best − worst win%,had won before,49,0.12844279292484692,0.7070966124657492,0.8170894188493102
NCAAF,best − worst win%,top-3 most decorated,49,0.19299257682683374,0.5374152422734914,0.7079818044006903
NCAAF,best − worst win%,top-quartile career win%,49,0.16099729684621045,0.7655380233070609,0.831904008491536
NCAAF,best − worst win%,already had 3+ titles,49,-0.5113880528075291,0.22089786379867782,0.5657167254944742
