feature,importance,std
conf_rank,0.03850896071084559,0.017226330362244552
prior_top4,0.016505927274003837,0.01131865131568254
mov,0.013959160727148505,0.008085447317161015
bt,0.013672385744779672,0.014112971038505335
strength_gap_to_best,0.013118585735263255,0.013848680369192828
league_rank,0.010777115543640746,0.013794742863466838
league_strength_sd,0.0,0.0
prior_titles,-0.0007895465595670374,0.01779157527253993
win_pct,-0.012571794915090003,0.004492146648005699
career_win_pct,-0.02357844223384782,0.01803094185306076
