season,start_year,n_teams,n_games,c,s,mse,lambda,win_pct_sd
1970,1970,26,14,0.8979591836734693,6.938775510204081,0.4230769230769231,0.7468250168449856,0.21503556771989
1971,1971,26,14,0.8979591836734693,5.510204081632653,0.6153846153846154,0.5930669251416062,0.1943734549777824
1972,1972,26,14,0.8979591836734693,7.346938775510204,0.5,0.7907559001888083,0.22748867089289387
1973,1973,26,14,0.8979591836734693,9.795918367346939,0.5769230769230769,1.0543412002517443,0.23050187384521162
1974,1974,26,14,0.8979591836734693,4.4897959183673475,0.4230769230769231,0.4832397167820496,0.1981342978890833
1975,1975,26,14,0.8979591836734693,9.183673469387756,0.7692307692307693,0.9884448752360104,0.25066782494276857
1976,1976,28,14,0.8979591836734693,10.0,0.6428571428571429,1.0763066419236558,0.2513991193217812
1977,1977,28,14,0.8979591836734693,8.979591836734695,0.39285714285714285,0.9664794335640992,0.2129483474395814
1978,1978,28,16,0.8979591836734693,1.836734693877551,0.39285714285714285,0.19768897504720206,0.17241666954360282
1979,1979,28,16,0.8979591836734693,3.4693877551020407,0.5,0.3734125084224928,0.17431763791678936
1980,1980,28,16,0.8979591836734693,4.285714285714286,0.5357142857142857,0.46127427511013813,0.18696080496348047
1981,1981,28,16,0.8979591836734693,3.0612244897959187,0.4642857142857143,0.3294816250786701,0.17368405832546094
1982,1982,28,9,0.8979591836734693,4.081632653061225,0.25,0.4393088334382268,0.21345170327179316
1983,1983,28,16,0.8979591836734693,4.4897959183673475,0.6071428571428571,0.4832397167820496,0.17448188987450788
1984,1984,28,16,0.8979591836734693,6.938775510204081,0.5357142857142857,0.7468250168449856,0.2102868631532051
1985,1985,28,16,0.8979591836734693,6.938775510204081,0.42857142857142855,0.7468250168449856,0.1961848382030088
1986,1986,28,16,0.8979591836734693,5.3061224489795915,0.5,0.5711014834696948,0.20864158782302286
1987,1987,28,15,0.8979591836734693,4.8979591836734695,0.32142857142857145,0.5271706001258721,0.17466274002008197
1988,1988,28,16,0.8979591836734693,3.0612244897959187,0.4642857142857143,0.3294816250786701,0.1681137299285106
1989,1989,28,16,0.8979591836734693,4.081632653061225,0.4642857142857143,0.4393088334382268,0.18016055082640617
1990,1990,28,16,0.8979591836734693,7.142857142857143,0.5714285714285714,0.768790458516897,0.2026675543004789
1991,1991,28,16,0.8979591836734693,7.142857142857143,0.5714285714285714,0.768790458516897,0.21780697488115092
1992,1992,28,16,0.8979591836734693,6.73469387755102,0.5,0.7248595751730742,0.207007041773741
1993,1993,28,16,0.8979591836734693,2.2448979591836737,0.35714285714285715,0.2416198583910248,0.16043219982516208
1994,1994,28,16,0.8979591836734693,3.673469387755102,0.35714285714285715,0.39537795009440413,0.17514562346227613
1995,1995,30,16,0.8979591836734693,3.4693877551020407,0.26666666666666666,0.3734125084224928,0.15310738850164318
1996,1996,30,16,0.8979591836734693,4.6938775510204085,0.4,0.5052051584539609,0.18420395992099278
1997,1997,30,16,0.8979591836734693,4.6938775510204085,0.4,0.5052051584539609,0.18174525559429186
1998,1998,30,16,0.8979591836734693,6.938775510204081,0.4,0.7468250168449856,0.2139631615086079
1999,1999,31,16,0.8979591836734693,4.285714285714286,0.5161290322580645,0.46127427511013813,0.18687133173297585
2000,2000,31,16,0.8979591836734693,6.530612244897959,0.3870967741935484,0.7028941335011629,0.19694029442928243
2001,2001,31,16,0.8979591836734693,6.326530612244898,0.45161290322580644,0.6809286918292516,0.2034546949648147
2002,2002,32,16,0.8979591836734693,2.0408163265306123,0.40625,0.2196544167191134,0.16514158148535416
2003,2003,32,16,0.8979591836734693,7.346938775510204,0.5,0.7907559001888083,0.1917556303585205
2004,2004,32,16,0.8979591836734693,5.3061224489795915,0.375,0.5711014834696948,0.1924954518733767
2005,2005,32,16,0.8979591836734693,7.551020408163265,0.5,0.8127213418607196,0.2118849352985049
2006,2006,32,16,0.8979591836734693,4.285714285714286,0.4375,0.46127427511013813,0.18100319681725102
2007,2007,32,16,0.8979591836734693,6.326530612244898,0.5625,0.6809286918292516,0.2075832105795556
2008,2008,32,16,0.8979591836734693,7.142857142857143,0.59375,0.768790458516897,0.20721746943029867
2009,2009,32,16,0.8979591836734693,6.530612244897959,0.375,0.7028941335011629,0.2014315275279867
2010,2010,32,16,0.8979591836734693,5.918367346938775,0.4375,0.6369978084854289,0.1871961381899365
2011,2011,32,16,0.8979591836734693,7.959183673469388,0.5,0.8566522252045423,0.20459455381708697
2012,2012,32,16,0.8979591836734693,6.326530612244898,0.46875,0.6809286918292516,0.19367144349178983
2013,2013,32,16,0.8979591836734693,8.36734693877551,0.46875,0.900583108548365,0.19400689005057725
2014,2014,32,16,0.8979591836734693,5.714285714285714,0.53125,0.6150323668135176,0.19843024847050036
2015,2015,32,16,0.8979591836734693,5.510204081632653,0.375,0.5930669251416062,0.19047919198863997
2016,2016,32,16,0.8979591836734693,8.775510204081632,0.3125,0.9445139918921875,0.20013624391656865
2017,2017,32,16,0.8979591836734693,7.142857142857143,0.5,0.768790458516897,0.20025702989956065
2018,2018,32,16,0.8979591836734693,5.918367346938775,0.375,0.6369978084854289,0.1806603897131032
2019,2019,32,16,0.8979591836734693,7.346938775510204,0.34375,0.7907559001888083,0.1981073730329086
2020,2020,32,16,0.8979591836734693,7.959183673469388,0.53125,0.8566522252045423,0.21640057455874473
2021,2021,32,17,0.8979591836734693,4.285714285714286,0.40625,0.46127427511013813,0.1696015224321124
2022,2022,32,17,0.8979591836734693,3.673469387755102,0.53125,0.39537795009440413,0.18393308028789587
2023,2023,32,17,0.8979591836734693,3.4693877551020407,0.375,0.3734125084224928,0.16160564057147303
