league,balance_metric,window,n_seasons,slope,intercept,r_squared,p_value,std_err
NBA,paper_cb_win,1981-Present,42,-71.14503696322758,160.84841856986048,0.3358130509111063,5.786346415163303e-05,15.820164583905772
NBA,paper_cb_win,1981-2000,20,-90.99156919257227,203.16105047800255,0.48167698333273606,0.0006874803291788492,22.247806689055857
NBA,paper_cb_win,2000-Present,23,4.9518560185767635,10.20745889949367,0.008896704163497738,0.6685896145933612,11.405208960337331
NBA,paper_cb_win,2003-Present,20,6.317891540241842,7.9426852349322825,0.01513788962927846,0.6053127712982516,12.011326186333049
NBA,paper_cb_rating,1981-Present,42,-462.81608183726223,147.06301638613988,0.44334924158450906,1.4938597553912066e-06,81.99679231498244
NBA,paper_cb_rating,1988-Present,35,1.5296710852771729,19.9848268695202,1.3018244719715119e-05,0.9835882674891283,73.8009657574812
NBA,paper_cb_rating,2000-Present,23,43.82230160035734,8.040511440077205,0.019553986576665506,0.5245365919997712,67.71419537581977
NBA,paper_cb_rating,2010-Present,13,152.80664936744492,-23.125833301696368,0.17626808919140546,0.15321850941243742,99.59831871997244
NBA,paper_cb_rating,1984-Present,39,-375.5595971851179,125.66041683253476,0.41883054599388736,8.494951483518592e-06,72.7294357963566
NBA,paper_cb_rating,1988-Present,35,0.7349202007008251,20.191550641490693,3.4405562980544907e-06,0.9915624950825579,68.97125581410289
NBA,paper_cb_rating,2000-Present,23,79.61105352456407,-2.135123133247287,0.06731999191774787,0.23187296032096794,64.663324664408
NBA,paper_cb_rating,2010-Present,13,152.04659298031066,-23.783900829207127,0.22252224464472567,0.103650362329559,85.6914754123066
NFL,paper_cb_win,1975-Present,49,-6.737104965925862,33.07218126209564,0.010512540471774788,0.4832795240156797,9.534011944788928
NFL,paper_cb_win,1990-Present,34,-8.745414256488289,34.35614192351544,0.04736709503662745,0.21628535338205132,6.9331374593683055
NFL,paper_cb_win,2000-Present,24,-1.0153823887891744,16.314152433501636,0.0007768258415788402,0.8971377317380561,7.76403890422781
NFL,paper_cb_rating,1975-Present,49,-45.84976830250981,31.17218705085582,0.015718152138617974,0.39070326416883866,52.92333579957355
NFL,paper_cb_rating,1990-Present,34,-68.84074896663074,34.57891658168323,0.09176264089124583,0.08160576538261158,38.28576476194805
NFL,paper_cb_rating,2000-Present,24,-10.518972424857902,17.089791700170988,0.0035110930968927055,0.783292107986365,37.78131223556012
NCAA Football,win_pct_sd,1970-Present,54,-1615.291253869208,442.1462372816067,0.15885015735895028,0.002835484808294382,515.4565101216342
NCAA Football,rating_sd,1970-Present,54,-39.25566233509454,492.69628008910985,0.488151738848915,4.238119170145727e-09,5.57434486280248
